gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,23920,4608,4096,54,0,226.6545,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3983.82,1230.38,0.0
gfx950,256,23921,9216,4096,54,0,430.9675,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4190.51,1180.54,0.0
gfx950,256,23930,1280,4096,54,0,73.0737,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3433.85,1544.89,0.0
gfx950,256,23930,4096,1024,54,0,88.6696,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2263.9,2372.67,0.0
gfx950,256,23933,9216,4096,54,0,432.8859,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4174.04,1175.88,0.0
gfx950,256,23935,9216,4096,54,0,430.7374,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4195.21,1181.84,0.0
gfx950,256,23953,4608,4096,54,0,225.3349,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4012.67,1239.24,0.0
gfx950,256,23954,9216,4096,54,0,420.7331,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4298.37,1210.87,0.0
gfx950,256,23963,9216,4096,54,0,426.9781,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4237.09,1193.59,0.0
gfx950,256,23967,9216,4096,54,0,428.5794,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4221.97,1189.32,0.0
gfx950,256,23980,4608,4096,54,0,223.5522,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4049.23,1250.48,0.0
gfx950,256,23982,9216,4096,54,0,433.4543,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4177.1,1176.65,0.0
gfx950,256,23985,2304,4096,41,0,132.5643,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x640E,3414.96,1239.87,0.0
gfx950,256,23985,4096,2048,54,0,123.6232,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3255.06,1821.99,0.0
gfx950,256,23985,9216,4096,54,0,424.9898,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4260.82,1200.23,0.0
gfx950,256,23987,4608,4096,54,0,226.4749,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3998.14,1234.69,0.0
gfx950,256,23991,2304,4096,54,0,131.4629,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3444.43,1250.56,0.0
gfx950,256,23991,4096,2048,54,0,125.9233,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3196.41,1789.15,0.0
gfx950,256,23991,9216,4096,54,0,433.0155,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4182.9,1178.27,0.0
gfx950,256,23993,9216,4096,54,0,428.8206,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4224.17,1189.89,0.0
