gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,4,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,49.6491,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.9%,30.1218,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,79.7709,0,0,0,21.29,42590.06
gfx950,256,8,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,73.4993,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.1%,44.9624,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,4.6%,118.4617,0,0,0,28.68,28680.23
gfx950,256,16,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,120.9533,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_kw2_fp4,0.1%,71.1163,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_persist,4.3%,192.0696,0,0,0,35.38,17689.59
gfx950,256,32,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,154.2629,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.1%,91.9429,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic,4.4%,246.2058,0,0,0,55.2,13800.97
gfx950,256,64,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,184.0591,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,97.5522,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,1.2%,281.6113,0,0,0,96.51,12067.59
gfx950,256,128,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,184.6562,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,100.3622,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.2%,285.0184,0,0,0,190.72,11926.78
gfx950,256,256,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,185.2989,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.9%,103.0303,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,288.3292,0,0,0,377.06,11796.65
gfx950,256,512,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,188.6741,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.1%,116.3063,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,4.3%,304.9804,0,0,0,712.94,11165.47
gfx950,256,1024,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,226.9881,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_fp4,0.1%,148.0154,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce_bnt2,1.5%,375.0035,0,0,0,1159.63,9101.55
gfx950,256,2048,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,329.6348,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w4_bnt0_fp4,0.1%,205.9409,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,4.3%,535.5757,0,0,0,1623.92,6402.16
gfx950,256,4096,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,444.9071,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_bnt0_fp4,0.9%,298.6018,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_persist_sbm128,1.2%,743.5089,0,0,0,2339.53,4654.01
gfx950,256,8192,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,788.8574,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4_fp4,0.9%,548.3834,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,1.2%,1337.2408,0,0,0,2601.57,2634.69
gfx950,256,16384,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1411.5869,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.9%,1057.6591,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,1.2%,2469.246,0,0,0,2817.8,1477.8
gfx950,256,32768,5120,2304,96,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2666.2958,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_bnt0_xcd4_fp4,0.9%,1965.7944,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,1.2%,4632.0902,0,0,0,3004.19,842.1
