gfx,cu_num,M,N,K,outdtype,bias,bpreshuffle,libtype,kernelId,splitK,us,kernelName,errRatio,tflops,bw
gfx950,256,4,6144,3072,torch.bfloat16,False,True,flydsl,252,1,8.5764,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,17.61,2207.9
gfx950,256,8,6144,3072,torch.bfloat16,False,True,flydsl,253,1,6.1028,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,49.48,3112.87
gfx950,256,16,6144,3072,torch.bfloat16,False,True,flydsl,253,1,9.4644,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,63.82,2020.22
gfx950,256,32,6144,3072,torch.bfloat16,False,True,flydsl,224,1,7.9831,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,151.31,2425.86
gfx950,256,64,6144,3072,torch.bfloat16,False,True,flydsl,376,1,7.8103,flydsl_mxfp8_bf16_bp1_bd1_t16x96x512x7_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,309.32,2542.46
gfx950,256,128,6144,3072,torch.bfloat16,False,True,flydsl,1150,1,12.1365,flydsl_mxfp8_bf16_bp1_bd1_t32x96x512x7_ks1_w1x2x4_mma16x16x128_bias0_gm4_pft_gfx950,0.0,398.12,1717.17
gfx950,256,256,6144,3072,torch.bfloat16,False,True,flydsl,2446,1,16.2084,flydsl_mxfp8_bf16_bp1_bd1_t64x128x512x3_ks1_w1x4x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,596.21,1407.08
gfx950,256,512,6144,3072,torch.bfloat16,False,True,flydsl,1522,1,18.3688,flydsl_mxfp8_bf16_bp1_bd1_t64x256x512x2_ks1_w1x4x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1052.18,1455.66
gfx950,256,1024,6144,3072,torch.bfloat16,False,True,flydsl,416,1,31.2765,flydsl_mxfp8_bf16_bp1_bd1_t64x128x512x2_ks1_w1x4x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1235.9,1106.36
gfx950,256,2048,6144,3072,torch.bfloat16,False,True,flydsl,341,1,46.4315,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1665.02,1084.0
gfx950,256,4096,6144,3072,torch.bfloat16,False,True,flydsl,303,1,92.7188,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1667.61,882.12
gfx950,256,8192,6144,3072,torch.bfloat16,False,True,flydsl,303,1,167.6943,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1844.06,862.9
gfx950,256,16384,6144,3072,torch.bfloat16,False,True,flydsl,303,1,327.6934,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1887.36,825.57
gfx950,256,32768,6144,3072,torch.bfloat16,False,True,flydsl,303,1,586.3271,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,2109.66,890.61
gfx950,256,1,6144,6144,torch.bfloat16,False,True,flydsl,56,1,11.9325,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x3_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,6.33,3165.07
gfx950,256,2,6144,6144,torch.bfloat16,False,True,flydsl,309,1,11.6418,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x9_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,12.97,3245.68
gfx950,256,4,6144,6144,torch.bfloat16,False,True,flydsl,308,1,12.0244,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x9_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,25.11,3145.48
gfx950,256,8,6144,6144,torch.bfloat16,False,True,flydsl,60,1,11.1431,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x4_ks1_w1x1x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,54.2,3400.87
gfx950,256,16,6144,6144,torch.bfloat16,False,True,flydsl,62,1,12.4978,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x4_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,96.65,3044.03
